billing_month,season,avg_temperature_c,household_size,working_days,ownership_status,water_liter,electricity_kwh,gas_m3,energy_efficiency_rating,water_rate,electricity_rate,gas_rate
2,Winter,10.4,5,27.0,Owned,18825.1,931.39,217.91,A,0.001,0.13,0.1
12,Winter,12.0,2,26.0,Rented,5735.5,347.55,73.66,D,0.0015,0.18,0.06
7,Summer,29.9,3,25.0,Owned,10231.0,745.58,54.93,D,0.0012,0.17,0.08
12,Winter,10.9,1,27.0,Owned,3449.5,164.59,39.04,B,0.0011,0.15,0.08
2,Winter,8.2,6,18.0,Rented,18360.4,565.72,267.35,A,0.0017,0.19,0.08
1,Winter,10.0,1,23.0,Owned,3021.3,268.05,11.8,C,0.0014,0.13,0.07
1,Winter,11.8,1,28.0,Rented,2937.9,184.75,44.36,D,0.0015,0.18,0.09
2,Winter,10.1,2,25.0,Rented,6443.3,318.72,88.36,A,0.0015,0.16,0.08
2,Winter,9.7,1,22.0,Rented,3158.5,114.66,43.33,C,0.0015,0.19,0.07
6,Summer,24.6,2,27.0,Rented,5118.8,367.49,45.46,B,0.0013,0.18,0.08
12,Winter,8.3,1,28.0,Owned,3419.0,131.82,34.85,B,0.002,0.19,0.05
1,Winter,5.4,1,25.0,Rented,2601.3,146.12,39.41,B,0.001,0.14,0.09
2,Winter,12.9,3,28.0,Owned,11065.0,360.34,126.96,A,0.0017,0.15,0.1
7,Summer,29.1,2,27.0,Owned,6585.7,342.39,45.6,A,0.0012,0.14,0.07
8,Summer,24.5,1,25.0,Owned,3679.9,268.87,22.05,D,0.001,0.14,0.06
7,Summer,32.4,2,19.0,Rented,6476.3,283.61,35.26,B,0.0013,0.15,0.08
8,Summer,27.4,3,25.0,Owned,10142.6,615.52,55.15,D,0.0012,0.15,0.08
1,Winter,5.5,5,18.0,Owned,15748.6,801.83,217.81,C,0.0017,0.2,0.05
1,Winter,13.0,4,22.0,Owned,13186.0,450.0,141.57,A,0.0013,0.14,0.08
7,Summer,31.3,1,24.0,Rented,2800.0,186.18,20.44,E,0.0011,0.15,0.07
6,Summer,29.0,6,24.0,Rented,18398.6,950.26,128.76,A,0.0012,0.2,0.08
12,Winter,11.5,6,23.0,Rented,14777.7,946.15,241.5,C,0.0014,0.19,0.05
1,Winter,7.8,1,22.0,Rented,2841.6,76.43,41.87,A,0.0014,0.17,0.07
7,Summer,28.5,4,19.0,Rented,10758.3,901.14,69.75,E,0.001,0.15,0.09
12,Winter,7.4,2,15.0,Owned,7736.4,286.1,69.9,C,0.0014,0.17,0.08
12,Winter,8.8,5,22.0,Rented,16388.4,930.97,181.8,B,0.0013,0.18,0.06
2,Winter,11.0,2,19.0,Owned,5666.4,358.72,82.0,A,0.0011,0.13,0.06
6,Summer,27.8,1,24.0,Owned,2711.6,206.76,24.15,B,0.0013,0.14,0.09
6,Summer,24.8,2,21.0,Rented,6091.5,322.08,47.47,D,0.0018,0.18,0.06
6,Summer,28.0,1,28.0,Owned,4201.2,217.3,21.44,C,0.0018,0.18,0.08
8,Summer,24.8,2,23.0,Rented,6167.5,365.35,37.04,C,0.0015,0.17,0.06
8,Summer,30.2,6,24.0,Rented,18738.4,890.01,126.28,B,0.0012,0.18,0.08
1,Winter,9.3,2,25.0,Rented,6445.8,359.7,69.56,E,0.0017,0.17,0.1
12,Winter,10.8,5,28.0,Rented,12878.6,524.46,218.08,B,0.0011,0.18,0.1
12,Winter,11.8,5,26.0,Rented,15840.4,677.3,187.07,E,0.0019,0.13,0.07
8,Summer,31.4,4,23.0,Rented,10217.0,610.45,82.95,B,0.0018,0.12,0.06
2,Winter,13.3,6,22.0,Rented,19561.6,632.44,228.29,B,0.0015,0.18,0.08
1,Winter,5.2,4,25.0,Rented,13506.4,618.86,176.92,A,0.0015,0.16,0.08
8,Summer,29.0,4,26.0,Owned,14369.3,410.0,79.63,A,0.0013,0.15,0.07
12,Winter,7.3,1,28.0,Rented,3043.3,202.7,41.68,D,0.0014,0.17,0.1
1,Winter,7.0,3,24.0,Owned,9083.4,451.89,116.91,B,0.0014,0.18,0.06
2,Winter,11.6,2,17.0,Rented,6912.7,213.92,79.14,A,0.002,0.19,0.06
8,Summer,27.7,5,26.0,Owned,17139.8,1558.4,104.02,C,0.0011,0.17,0.07
7,Summer,28.0,5,21.0,Rented,13667.6,996.46,99.75,B,0.0011,0.19,0.06
12,Winter,7.1,3,28.0,Owned,11182.7,489.75,108.09,D,0.0017,0.13,0.08
2,Winter,11.6,6,21.0,Rented,18796.8,1072.98,224.49,B,0.0012,0.18,0.08
7,Summer,30.5,5,23.0,Owned,20212.0,1105.86,94.63,B,0.001,0.13,0.05
2,Winter,7.9,4,27.0,Rented,11235.6,682.51,170.01,B,0.0015,0.14,0.1
12,Winter,7.4,1,27.0,Rented,3472.7,81.49,35.03,B,0.0019,0.14,0.07
1,Winter,11.3,2,21.0,Rented,5261.0,417.94,77.08,C,0.0014,0.17,0.1
12,Winter,11.5,3,26.0,Rented,10207.7,511.68,100.63,B,0.0017,0.17,0.07
7,Summer,30.1,4,27.0,Owned,13360.8,682.44,90.23,B,0.0015,0.2,0.05
2,Winter,12.7,3,26.0,Rented,10848.0,485.29,124.19,A,0.0014,0.15,0.05
2,Winter,8.1,6,24.0,Owned,21783.9,926.49,257.94,A,0.0012,0.16,0.1
2,Winter,9.2,6,23.0,Owned,18368.3,1110.29,203.92,C,0.0016,0.19,0.1
8,Summer,27.6,3,25.0,Rented,8376.5,411.02,59.5,E,0.0012,0.16,0.09
7,Summer,34.0,1,21.0,Rented,2933.4,155.36,19.87,D,0.0014,0.18,0.08
2,Winter,10.6,2,22.0,Rented,5250.7,334.77,66.41,C,0.0018,0.18,0.07
1,Winter,10.8,3,23.0,Rented,8503.9,480.75,108.97,D,0.0012,0.12,0.1
1,Winter,7.0,4,21.0,Rented,11006.1,845.85,172.53,C,0.002,0.15,0.06
12,Winter,12.0,5,19.0,Rented,14224.0,694.18,168.97,B,0.0015,0.19,0.1
1,Winter,7.2,5,24.0,Rented,11327.8,570.54,223.18,A,0.0016,0.19,0.06
2,Winter,13.0,6,28.0,Rented,16814.6,1165.69,214.29,D,0.0016,0.14,0.07
7,Summer,29.0,2,25.0,Rented,6311.4,223.95,36.99,B,0.0012,0.19,0.09
12,Winter,9.2,5,27.0,Owned,16145.8,733.24,77.23,A,0.0012,0.13,0.09
2,Winter,14.2,4,28.0,Rented,10628.4,730.16,159.25,B,0.0013,0.16,0.08
12,Winter,9.8,3,21.0,Rented,7010.8,748.76,127.35,D,0.001,0.18,0.09
6,Summer,25.6,3,28.0,Rented,10148.3,835.64,57.36,D,0.0014,0.17,0.07
2,Winter,12.1,4,21.0,Owned,11694.9,971.18,155.41,C,0.0015,0.15,0.06
2,Winter,9.4,6,23.0,Rented,16760.4,1209.77,281.26,B,0.002,0.16,0.09
2,Winter,7.4,4,21.0,Owned,12326.8,374.34,183.29,B,0.0015,0.15,0.05
1,Winter,9.6,5,26.0,Rented,13860.6,870.48,226.51,C,0.0013,0.14,0.07
2,Winter,13.2,5,23.0,Owned,18494.1,612.83,177.23,D,0.0012,0.18,0.06
12,Winter,8.1,4,23.0,Rented,13634.3,813.51,67.1,D,0.0014,0.13,0.1
1,Winter,8.2,1,26.0,Rented,3530.2,142.18,34.77,C,0.0013,0.15,0.07
8,Summer,27.1,1,24.0,Owned,3032.9,207.45,18.22,B,0.0016,0.18,0.06
12,Winter,11.3,2,23.0,Rented,6335.7,317.65,78.62,C,0.0014,0.13,0.1
2,Winter,10.5,2,23.0,Rented,5680.4,233.95,84.37,B,0.0011,0.15,0.05
8,Summer,27.5,5,23.0,Owned,16641.5,1232.35,113.23,C,0.0016,0.13,0.1
1,Winter,10.9,4,24.0,Rented,14087.9,521.27,165.26,A,0.0017,0.2,0.06
2,Winter,8.4,1,24.0,Rented,3037.4,134.36,32.75,A,0.0017,0.14,0.07
8,Summer,27.5,5,27.0,Rented,15540.5,576.15,108.5,A,0.0015,0.14,0.09
2,Winter,12.6,6,20.0,Rented,16926.9,1047.06,201.5,C,0.0015,0.12,0.07
7,Summer,26.6,2,25.0,Owned,7534.6,327.48,42.8,D,0.0011,0.18,0.06
1,Winter,8.5,3,26.0,Rented,9615.8,377.21,114.64,C,0.001,0.14,0.08
2,Winter,13.4,2,27.0,Rented,5863.1,309.01,89.66,D,0.0019,0.18,0.1
8,Summer,28.1,6,23.0,Rented,19210.9,1138.35,115.68,B,0.0012,0.19,0.06
2,Winter,11.7,3,26.0,Rented,9223.5,261.58,118.92,C,0.0017,0.18,0.06
12,Winter,14.0,2,26.0,Rented,6710.4,301.3,83.24,B,0.0017,0.15,0.06
2,Winter,13.8,6,21.0,Owned,20965.3,1030.72,227.62,D,0.0013,0.17,0.06
1,Winter,7.2,1,21.0,Owned,3490.1,134.28,34.36,D,0.0015,0.2,0.09
2,Winter,10.8,4,20.0,Owned,13011.2,591.66,162.16,B,0.0014,0.14,0.05
12,Winter,10.0,2,24.0,Rented,5838.1,441.54,77.23,E,0.002,0.16,0.1
12,Winter,9.9,2,28.0,Rented,6627.0,306.35,87.2,C,0.0018,0.13,0.08
2,Winter,11.0,6,26.0,Rented,21131.0,1165.13,250.57,B,0.0012,0.13,0.07
2,Winter,7.1,4,23.0,Owned,12303.5,542.51,172.67,A,0.0015,0.15,0.06
1,Winter,10.5,1,26.0,Rented,3097.1,134.18,42.08,B,0.0014,0.18,0.08
12,Winter,10.3,3,26.0,Rented,8313.6,452.51,111.52,D,0.0018,0.18,0.07
7,Summer,27.6,4,24.0,Owned,13223.5,394.9,72.55,B,0.0015,0.13,0.09
12,Winter,8.4,5,20.0,Rented,14705.7,509.25,202.31,B,0.0012,0.13,0.08
2,Winter,8.8,3,27.0,Rented,8623.0,266.48,107.9,B,0.001,0.19,0.06
12,Winter,9.7,1,23.0,Rented,2912.0,191.64,40.42,B,0.0019,0.15,0.09
1,Winter,7.0,6,25.0,Rented,19169.5,985.14,244.93,C,0.0013,0.14,0.09
7,Summer,30.0,3,23.0,Rented,9619.2,719.35,54.7,D,0.0011,0.15,0.06
2,Winter,10.0,4,19.0,Rented,14268.1,920.09,154.35,C,0.0017,0.12,0.09
12,Winter,8.1,1,26.0,Owned,3913.4,273.72,8.49,B,0.0014,0.17,0.07
12,Winter,14.2,4,27.0,Owned,11064.1,689.95,133.89,B,0.0014,0.14,0.05
7,Summer,31.8,3,28.0,Rented,7964.6,597.57,57.23,D,0.002,0.15,0.1
6,Summer,26.7,6,19.0,Rented,20420.2,1061.34,127.99,A,0.0018,0.17,0.08
2,Winter,9.5,3,24.0,Rented,7612.4,378.03,133.25,A,0.001,0.16,0.07
2,Winter,10.4,5,21.0,Owned,15961.4,623.18,175.6,B,0.0016,0.2,0.09
2,Winter,9.8,1,24.0,Owned,3148.3,160.49,39.38,A,0.0017,0.14,0.07
1,Winter,8.6,6,24.0,Rented,19416.2,581.2,238.22,A,0.0012,0.14,0.06
1,Winter,9.9,5,25.0,Rented,15954.1,710.0,206.86,D,0.0015,0.12,0.09
1,Winter,7.1,3,22.0,Rented,9459.8,293.66,111.81,A,0.0012,0.19,0.06
8,Summer,28.5,3,26.0,Rented,9973.2,695.6,84.08,C,0.0015,0.15,0.06
7,Summer,25.5,3,22.0,Owned,10571.1,400.98,52.02,A,0.0018,0.17,0.07
12,Winter,10.7,5,28.0,Rented,14274.7,1344.07,197.74,D,0.0019,0.16,0.08
2,Winter,13.8,3,26.0,Rented,9953.8,391.53,107.49,A,0.0013,0.19,0.1
2,Winter,10.9,4,23.0,Rented,12198.0,632.22,166.34,A,0.0015,0.15,0.07
12,Winter,9.3,1,19.0,Owned,3452.5,189.4,33.98,B,0.0017,0.16,0.08
12,Winter,13.6,1,27.0,Rented,3419.4,159.78,39.61,D,0.0011,0.17,0.08
6,Summer,22.6,6,24.0,Rented,13157.2,1057.43,127.1,C,0.0016,0.19,0.06
2,Winter,10.1,6,26.0,Rented,17636.2,878.24,278.19,C,0.001,0.13,0.08
12,Winter,9.6,4,26.0,Rented,11508.1,833.03,183.53,C,0.002,0.2,0.08
2,Winter,11.7,1,19.0,Rented,3200.0,262.29,34.78,C,0.002,0.14,0.07
8,Summer,25.8,2,20.0,Rented,5549.0,282.54,41.59,D,0.0018,0.14,0.08
2,Winter,10.1,6,21.0,Owned,18147.7,1167.86,239.6,D,0.001,0.15,0.05
7,Summer,28.3,6,25.0,Rented,20255.7,1294.6,132.15,B,0.0013,0.16,0.08
8,Summer,28.3,5,22.0,Rented,16963.6,906.11,110.06,A,0.0015,0.14,0.07
12,Winter,10.6,5,21.0,Rented,14771.8,837.38,189.78,C,0.0012,0.15,0.07
6,Summer,25.7,1,22.0,Rented,3326.7,188.99,23.75,A,0.0014,0.14,0.08
2,Winter,10.3,3,21.0,Rented,9021.7,333.47,117.18,A,0.0016,0.15,0.06
1,Winter,7.3,5,24.0,Rented,16055.3,928.84,188.34,C,0.0016,0.14,0.1
7,Summer,28.6,1,21.0,Rented,3346.7,250.65,22.91,E,0.0015,0.19,0.1
8,Summer,25.3,2,22.0,Owned,7275.9,125.78,42.36,A,0.0019,0.17,0.09
6,Summer,27.0,4,25.0,Rented,13528.3,932.07,99.11,C,0.0016,0.19,0.06
8,Summer,26.2,1,26.0,Owned,3353.0,133.88,22.18,A,0.0018,0.19,0.07
1,Winter,9.1,6,28.0,Owned,17118.1,1088.55,77.16,B,0.0018,0.18,0.07
8,Summer,29.2,4,28.0,Rented,12856.2,600.48,79.51,C,0.0017,0.2,0.07
2,Winter,10.5,5,22.0,Owned,15060.5,890.22,191.8,E,0.002,0.16,0.1
2,Winter,9.9,1,22.0,Owned,3386.9,181.74,39.51,C,0.0013,0.13,0.06
8,Summer,30.0,4,18.0,Rented,10336.0,843.65,87.75,B,0.002,0.2,0.09
2,Winter,11.9,3,25.0,Rented,11293.9,435.44,120.47,A,0.0019,0.16,0.08
2,Winter,12.4,6,24.0,Owned,17549.6,901.47,244.99,B,0.0011,0.13,0.09
2,Winter,10.6,5,25.0,Rented,12327.0,1165.53,61.98,B,0.0013,0.15,0.05
12,Winter,12.0,4,27.0,Rented,13532.9,508.4,33.66,A,0.0012,0.14,0.09
7,Summer,26.6,2,16.0,Owned,7107.0,350.17,39.17,A,0.0017,0.19,0.08
2,Winter,12.8,2,28.0,Rented,5794.0,414.28,81.52,D,0.0012,0.14,0.07
1,Winter,5.7,6,19.0,Rented,17616.5,854.88,305.65,A,0.0011,0.14,0.09
2,Winter,8.9,3,25.0,Rented,8298.7,372.8,134.68,A,0.0016,0.17,0.07
7,Summer,31.1,2,24.0,Owned,7403.1,246.66,44.17,B,0.0016,0.19,0.1
6,Summer,26.6,3,24.0,Rented,9637.7,362.62,65.06,A,0.0011,0.17,0.06
8,Summer,28.2,6,26.0,Owned,19117.6,1302.53,101.58,D,0.0013,0.18,0.06
7,Summer,27.6,6,20.0,Owned,19036.6,1068.37,119.78,B,0.0018,0.17,0.1
2,Winter,11.7,6,24.0,Rented,15955.7,1029.56,267.78,B,0.0014,0.2,0.07
12,Winter,13.5,3,24.0,Rented,9714.8,391.57,105.58,C,0.0015,0.14,0.09
12,Winter,11.7,1,21.0,Rented,2608.3,194.91,38.98,A,0.0014,0.14,0.1
2,Winter,14.4,3,28.0,Owned,9204.5,505.58,108.36,A,0.002,0.13,0.09
7,Summer,25.8,2,26.0,Rented,5196.9,492.48,39.54,C,0.0017,0.17,0.06
6,Summer,25.5,1,25.0,Rented,2853.4,208.74,20.52,B,0.0011,0.12,0.05
12,Winter,10.4,5,23.0,Owned,18956.3,252.94,205.7,D,0.0017,0.16,0.09
6,Summer,27.6,6,24.0,Rented,18185.9,1247.5,125.9,B,0.0015,0.13,0.06
6,Summer,26.3,3,25.0,Owned,9159.3,493.3,68.39,B,0.0015,0.16,0.1
8,Summer,25.5,6,22.0,Rented,16119.2,1217.0,111.88,C,0.0012,0.17,0.07
7,Summer,30.2,4,24.0,Owned,15484.8,706.17,82.76,B,0.002,0.13,0.07
8,Summer,28.7,5,20.0,Rented,13708.9,974.8,100.26,A,0.0013,0.13,0.1
1,Winter,9.6,6,24.0,Rented,16750.9,1169.62,275.67,D,0.0015,0.15,0.05
6,Summer,28.7,6,16.0,Rented,21200.7,1100.0,107.29,B,0.0014,0.19,0.09
1,Winter,10.7,3,20.0,Rented,9797.9,545.84,117.62,D,0.0011,0.13,0.06
8,Summer,26.7,1,23.0,Rented,2947.0,173.4,21.31,C,0.0019,0.14,0.07
6,Summer,30.5,3,21.0,Owned,11392.8,566.41,62.43,A,0.0016,0.15,0.06
12,Winter,8.1,5,24.0,Rented,14944.8,1059.36,177.0,B,0.001,0.14,0.09
2,Winter,13.1,3,22.0,Rented,9678.2,584.64,115.26,E,0.0019,0.17,0.08
2,Winter,13.1,5,28.0,Rented,16186.6,694.66,206.54,C,0.0011,0.13,0.07
6,Summer,23.5,4,25.0,Rented,14020.1,629.05,85.86,A,0.0013,0.19,0.1
1,Winter,6.1,4,25.0,Owned,11370.4,499.6,160.14,C,0.0011,0.18,0.06
2,Winter,10.1,3,23.0,Owned,10144.8,648.82,125.74,C,0.0018,0.14,0.09
7,Summer,27.2,1,23.0,Rented,2889.7,202.57,19.97,C,0.0018,0.16,0.06
8,Summer,30.4,3,27.0,Rented,9962.9,631.93,62.2,B,0.0016,0.17,0.06
1,Winter,7.6,5,20.0,Rented,16895.1,1190.74,244.53,B,0.0013,0.19,0.05
7,Summer,25.4,4,21.0,Rented,12495.4,673.68,72.81,C,0.0014,0.19,0.09
8,Summer,24.5,5,24.0,Owned,16061.0,1283.06,96.02,E,0.0016,0.18,0.07
6,Summer,31.4,6,27.0,Rented,21131.3,768.44,119.61,A,0.0015,0.12,0.09
12,Winter,13.4,3,26.0,Rented,7658.0,319.07,127.1,D,0.0015,0.13,0.08
1,Winter,8.4,6,25.0,Rented,19649.3,1191.26,268.0,E,0.0018,0.14,0.06
12,Winter,10.0,5,21.0,Rented,13838.8,831.74,191.41,C,0.0016,0.2,0.06
12,Winter,12.5,6,28.0,Rented,19864.1,491.73,243.26,A,0.0015,0.19,0.05
6,Summer,28.3,4,24.0,Rented,14023.7,632.67,89.77,C,0.0017,0.12,0.06
12,Winter,10.0,4,25.0,Rented,11125.0,525.67,169.94,A,0.0011,0.19,0.06
2,Winter,11.6,5,18.0,Owned,17335.5,873.61,229.93,C,0.0017,0.13,0.08
1,Winter,6.0,1,22.0,Rented,3174.0,139.54,34.88,A,0.0012,0.16,0.06
2,Winter,8.6,1,26.0,Rented,3016.4,123.88,27.9,A,0.0019,0.2,0.08
6,Summer,25.9,5,20.0,Owned,15712.6,691.65,115.02,D,0.0017,0.13,0.05
8,Summer,27.5,4,26.0,Rented,11858.8,714.48,90.64,A,0.0016,0.14,0.08
12,Winter,10.2,2,23.0,Owned,6752.1,137.93,71.31,B,0.0014,0.15,0.07
2,Winter,11.1,4,21.0,Rented,11497.4,680.55,57.15,A,0.0018,0.14,0.07
1,Winter,4.3,6,24.0,Owned,19019.6,869.61,251.5,C,0.0017,0.18,0.05
1,Winter,6.4,3,19.0,Rented,10192.5,546.51,94.91,B,0.0019,0.12,0.07
1,Winter,6.9,5,24.0,Rented,18983.7,944.56,205.66,D,0.0015,0.19,0.09
12,Winter,5.8,2,20.0,Rented,6405.4,303.01,71.85,C,0.0017,0.13,0.09
6,Summer,28.0,1,28.0,Owned,3057.1,160.27,20.42,C,0.0012,0.16,0.07
6,Summer,22.5,1,22.0,Rented,3124.7,141.06,17.98,A,0.0013,0.16,0.05
1,Winter,7.7,2,25.0,Owned,6876.9,281.57,90.16,B,0.0016,0.15,0.1
2,Winter,13.7,4,26.0,Owned,14168.7,605.21,177.21,C,0.0014,0.15,0.08
1,Winter,10.8,1,23.0,Rented,2850.0,124.41,40.11,C,0.0014,0.17,0.06
1,Winter,7.1,2,21.0,Owned,5467.1,222.96,83.0,B,0.0014,0.14,0.08
7,Summer,27.5,6,28.0,Rented,21822.1,1419.78,116.26,D,0.0019,0.15,0.09
1,Winter,10.6,5,18.0,Rented,13257.7,755.47,183.35,A,0.0013,0.13,0.08
1,Winter,9.5,5,26.0,Rented,14822.6,447.05,221.22,C,0.002,0.19,0.05
1,Winter,12.1,6,20.0,Owned,22319.8,645.17,252.09,D,0.0011,0.15,0.06
1,Winter,11.6,3,21.0,Rented,10535.4,373.6,134.34,B,0.002,0.15,0.1
1,Winter,9.3,5,26.0,Rented,18619.7,802.58,213.72,B,0.001,0.12,0.07
6,Summer,27.1,3,28.0,Owned,10754.1,316.68,60.25,B,0.0018,0.13,0.05
1,Winter,10.3,6,21.0,Owned,18255.1,781.89,198.35,D,0.0012,0.18,0.08
1,Winter,9.1,2,25.0,Owned,6635.1,418.27,73.79,D,0.0011,0.12,0.05
6,Summer,28.9,1,25.0,Owned,3209.9,186.98,17.3,D,0.0017,0.14,0.09
12,Winter,9.3,3,26.0,Owned,7942.4,780.83,144.02,D,0.0013,0.17,0.08
6,Summer,26.7,4,24.0,Owned,14177.7,652.66,79.95,B,0.0015,0.14,0.05
12,Winter,9.3,4,22.0,Owned,12785.0,686.19,170.59,B,0.0012,0.14,0.09
7,Summer,29.1,3,20.0,Owned,11320.8,629.91,62.87,B,0.0014,0.12,0.1
6,Summer,25.4,4,22.0,Rented,12279.3,605.82,83.74,A,0.0011,0.17,0.08
7,Summer,30.0,3,25.0,Rented,8536.9,648.44,67.73,B,0.0018,0.17,0.08
8,Summer,29.3,4,22.0,Rented,13417.1,939.8,86.62,C,0.0013,0.18,0.08
8,Summer,27.7,2,27.0,Rented,6506.1,341.07,44.07,B,0.0013,0.19,0.06
6,Summer,29.1,6,24.0,Rented,16042.8,910.85,115.03,A,0.0014,0.19,0.06
6,Summer,25.9,1,28.0,Rented,2949.7,172.27,21.81,B,0.0018,0.13,0.06
1,Winter,8.5,4,26.0,Owned,13265.6,375.78,146.78,C,0.0018,0.17,0.08
7,Summer,29.4,6,24.0,Owned,19040.1,755.59,134.66,D,0.0016,0.15,0.07
8,Summer,26.7,3,24.0,Rented,9799.5,462.28,71.31,A,0.0014,0.12,0.09
2,Winter,7.2,6,22.0,Owned,17637.3,1049.52,288.65,C,0.0019,0.15,0.06
8,Summer,26.9,3,28.0,Rented,8413.0,875.05,69.94,C,0.0011,0.2,0.07
6,Summer,27.9,2,22.0,Owned,6746.5,234.71,42.13,A,0.0014,0.2,0.07
7,Summer,27.6,6,24.0,Rented,15049.6,929.58,106.95,B,0.001,0.19,0.06
12,Winter,8.5,2,28.0,Owned,6609.4,212.27,78.77,A,0.0013,0.16,0.08
2,Winter,14.0,2,25.0,Rented,5376.2,208.18,81.79,A,0.0012,0.14,0.06
6,Summer,27.7,5,28.0,Rented,15144.4,999.54,110.52,E,0.002,0.2,0.07
2,Winter,7.9,4,24.0,Owned,16298.3,643.96,130.25,D,0.0016,0.19,0.07
6,Summer,28.0,6,24.0,Rented,14427.3,815.83,132.48,A,0.0017,0.12,0.08
7,Summer,29.1,5,28.0,Owned,16596.0,849.48,94.16,B,0.002,0.13,0.07
8,Summer,29.0,4,23.0,Rented,12252.4,487.8,95.72,A,0.0012,0.13,0.09
1,Winter,9.5,6,24.0,Owned,17583.4,1080.31,215.03,C,0.0011,0.19,0.08
1,Winter,7.9,6,28.0,Rented,19523.6,686.27,254.61,A,0.0012,0.17,0.06
6,Summer,30.0,3,23.0,Rented,8591.4,743.17,58.39,C,0.0018,0.15,0.09
8,Summer,25.4,5,23.0,Rented,17705.3,1024.83,93.27,D,0.0014,0.15,0.09
12,Winter,9.9,5,26.0,Rented,15473.1,927.39,201.02,D,0.002,0.13,0.05
12,Winter,9.4,1,19.0,Rented,3320.6,126.73,38.39,A,0.0014,0.13,0.1
12,Winter,7.0,5,21.0,Rented,20640.3,820.46,218.12,C,0.001,0.15,0.05
8,Summer,25.9,3,20.0,Rented,8645.8,483.5,66.74,A,0.0016,0.18,0.08
8,Summer,29.7,4,22.0,Owned,9848.9,820.89,86.25,B,0.0011,0.18,0.07
2,Winter,11.1,2,26.0,Rented,6271.3,371.59,80.15,B,0.001,0.18,0.08
7,Summer,27.2,2,22.0,Rented,4146.4,311.7,38.84,B,0.0016,0.18,0.07
7,Summer,27.8,6,16.0,Owned,22490.5,1047.78,113.18,A,0.0011,0.15,0.06
12,Winter,11.4,4,24.0,Rented,13108.9,537.02,145.63,C,0.0014,0.14,0.07
2,Winter,9.5,4,27.0,Rented,12354.6,736.11,146.67,D,0.0018,0.16,0.08
1,Winter,7.7,5,23.0,Rented,13583.0,281.83,172.15,B,0.0013,0.16,0.07
6,Summer,24.6,3,24.0,Rented,10794.5,516.23,52.02,D,0.0019,0.2,0.09
12,Winter,6.0,1,24.0,Rented,2977.0,94.86,35.3,B,0.002,0.13,0.07
8,Summer,26.4,3,17.0,Rented,9589.0,481.28,65.29,B,0.002,0.17,0.07
2,Winter,9.0,6,25.0,Rented,17617.0,948.27,213.53,C,0.0013,0.12,0.08
1,Winter,9.6,3,23.0,Rented,7663.7,486.05,130.06,B,0.0017,0.16,0.09
2,Winter,11.0,2,28.0,Rented,5540.6,490.19,74.16,D,0.0018,0.12,0.1
12,Winter,7.0,5,25.0,Owned,18958.2,1263.81,186.63,C,0.002,0.17,0.05
8,Summer,27.0,5,24.0,Owned,15578.4,1060.52,101.06,D,0.0019,0.14,0.09
6,Summer,23.5,1,24.0,Rented,3285.9,203.19,19.26,B,0.0019,0.14,0.07
8,Summer,26.3,4,21.0,Rented,11829.9,876.52,88.5,B,0.0016,0.18,0.09
1,Winter,9.6,6,26.0,Owned,19247.6,571.38,263.94,D,0.0016,0.14,0.08
12,Winter,9.4,5,22.0,Rented,13105.8,718.67,203.0,B,0.0018,0.16,0.05
6,Summer,26.1,4,27.0,Owned,13662.2,499.57,88.83,B,0.0018,0.14,0.06
6,Summer,28.7,4,22.0,Rented,12894.0,405.42,90.51,A,0.0019,0.19,0.08
12,Winter,11.9,1,23.0,Rented,2600.6,168.57,42.82,B,0.0016,0.13,0.09
2,Winter,8.4,4,26.0,Rented,11326.3,609.9,152.73,C,0.0014,0.17,0.07
1,Winter,10.4,6,28.0,Owned,21572.7,690.59,242.79,D,0.0013,0.13,0.06
12,Winter,9.9,1,28.0,Owned,3503.1,71.84,40.95,B,0.0018,0.18,0.08
6,Summer,27.5,1,22.0,Rented,3061.8,185.83,19.81,D,0.0011,0.2,0.07
6,Summer,29.5,1,21.0,Rented,2960.7,170.75,18.89,B,0.002,0.12,0.08
2,Winter,11.8,3,20.0,Rented,9344.7,508.95,127.53,B,0.0018,0.17,0.08
6,Summer,24.4,1,19.0,Rented,3389.2,186.6,22.77,B,0.0016,0.17,0.05
1,Winter,8.9,1,28.0,Rented,3328.1,94.04,43.01,A,0.002,0.15,0.06
12,Winter,9.5,6,28.0,Owned,20696.1,769.19,238.87,A,0.0011,0.15,0.06
2,Winter,12.6,1,25.0,Rented,3570.0,239.89,42.85,D,0.0017,0.19,0.08
1,Winter,9.7,3,20.0,Rented,9360.5,622.81,111.14,D,0.001,0.15,0.06
8,Summer,25.0,3,24.0,Rented,6973.9,487.1,61.68,B,0.0011,0.16,0.09
12,Winter,11.9,5,25.0,Rented,17774.8,802.74,209.86,A,0.002,0.16,0.07
8,Summer,26.7,5,26.0,Rented,14262.5,727.1,96.53,B,0.0012,0.18,0.06
6,Summer,25.1,3,28.0,Rented,8798.8,444.11,62.12,D,0.0014,0.15,0.08
1,Winter,10.6,3,25.0,Rented,9541.9,469.32,108.62,A,0.0012,0.16,0.1
12,Winter,9.6,2,23.0,Rented,5061.0,191.52,91.69,D,0.001,0.19,0.05
8,Summer,26.5,2,23.0,Owned,7010.4,241.12,45.45,A,0.0017,0.2,0.06
12,Winter,10.6,6,25.0,Rented,18791.2,580.86,189.26,D,0.0017,0.18,0.07
